// voice	text
c001_17_boss_long	じゃじゃ～ん！こんにちは、可愛いご主人さま～♥
c003_15_true1	モナ姉さま～♥えへへへへ～\魔王ダビはモナ姉さまと結婚するわよ！
c003_15_true2	ううう…いつごろ魔界に戻れるのか…\それもこれも全部お前のせいではないか！
c003_15_true3	お前のせいで魔王ダビ様の計画が全部狂ってしまったのよ！
c003_15_victory	ふっふっふ～！\これくらいとっても簡単でしょ？
c003_16_boss_long	踏んづけてあげようかしら？
c003_16_boss_short	おーっほっほっほっほ！魔王ダビ様、登～場！
c003_16_ctskill	魔王ダビの実力よ！
c003_16_death_1	ちぃっ、生意気に…
c003_16_death_2	はぁ…
c003_16_drive	さあ、ひざまずけ！
c003_16_hit_1	うああ！
c003_16_hit_2	ぐひぃ！
c003_16_hit_3	はあっ！
c003_16_prskill	私の力、受けてみる？
c003_16_skill	あ～っはっはっはっは！
c003_16_spa	毎日が今日みたいだと良いわね～
c003_16_startbt	魔王ダビに任せなさい！
c003_16_story1	新しい魔王、ダビ様の登場よ！\ま、そんなわけで、これからよろしくね。
c003_16_story2	神は騙せても、この魔王ダビは騙すことはできないってことよ！
c003_16_story3	この魔王ダビが、教育がよくされたストーカーですって？
c003_16_true1	モナ姉さま～♥えへへへへ～\魔王ダビはモナ姉さまと結婚するわよ！
c003_16_true2	ううう…いつごろ魔界に戻れるのか…\それもこれも全部お前のせいではないか！
c003_16_true3	お前のせいで魔王ダビ様の計画が全部狂ってしまったのよ！
c003_16_victory	ふっふっふ～！\これくらいとっても簡単でしょ？
c003_17_boss_long	愚かな悪魔には死ダビ～！
c003_17_boss_short	ダビちゃん様登場ダビ～！
c003_17_ctskill	魔王ダビ様を称えるダビ～！！
c003_17_death_1	私の死を…みんなに知らせるダ…ビ…
c003_17_death_2	うう…やられたダビ～…！
c003_17_drive	己の罪は己で知るダビ～！
c003_17_hit_1	ふえええん！
c003_17_hit_2	やめてダビ！
c003_17_hit_3	許さないダビ！
c003_17_prskill	私の番ダビ！！
c003_17_skill	ちょっと痛いダビよ！！
c003_17_spa	ダビ様、登場ダビ～！
c003_17_startbt	ダビちゃん様、登場ダビ～！
c003_17_story1	ダビ様、登場ダビ～！
c003_17_story2	ダビ様、登場ダビ～！
c003_17_story3	ダビ様、登場ダビ～！
c003_17_true1	己の罪は己で知るダビ～！
c003_17_true2	己の罪は己で知るダビ～！
c003_17_true3	己の罪は己で知るダビ～！
c003_17_victory	愚かな悪魔には死ダビ～！
c003_89_boss_long	踏んづけてあげようかしら？
c003_89_boss_short	おーっほっほっほっほ！魔王ダビ様、登～場！
c003_89_ctskill	魔王ダビの実力よ！
c003_89_death_1	ちぃっ、生意気に… 
c003_89_death_2	はぁ…
c003_89_drive	さあ、ひざまずけ！
c003_89_hit_1	うああ！
c003_89_hit_2	ぐひぃ！
c003_89_hit_3	はあっ！
c003_89_prskill	私の力、受けてみる？
c003_89_skill	あ～っはっはっはっは！
c003_89_spa	毎日が今日みたいだと良いわね～
c003_89_startbt	魔王ダビに任せなさい！
c003_89_story1	新しい魔王、ダビ様の登場よ！\ま、そんなわけで、これからよろしくね。
c003_89_story2	神は騙せても、この魔王ダビは騙すことはできないってことよ。
c003_89_story3	この魔王ダビが、教育がよくされたストーカーですって？
c003_89_true1	モナ姉さま～♥えへへへへ～魔王ダビはモナ姉さまと結婚するわよ！
c003_89_true2	ううう…いつ頃魔界に戻れるのか…\それもこれも全部お前のせいではないか！
c003_89_true3	お前のせいで魔王ダビ様の計画が全部狂ってしまったのよ！
c003_89_victory	ふっふっふ～！\これくらいとっても簡単でしょ？
c003_boss_long	おーほほほ！\ここまでたどりついたか、哀れな悪魔たちよ！
c003_boss_short	ぜーったい手加減しないからね！
c003_ctskill	ダビの力、見せてあげる！
c003_death_1	ダビ、痛いよぉ…
c003_death_2	うぎゅぅう～～！
c003_drive	ぜーんぶ、壊しちゃうよ！
c003_hit_1	うわああん！
c003_hit_2	きゃぁ～あん！
c003_hit_3	ぅぐぬぅう～～～！
c003_prskill	ダビにまかせて！
c003_skill	えいっ！
c003_spa	ダメ！\悪魔は立ち入り禁止だよ！
c003_startbt	ダビに任せて！
c003_story1	契約に感謝です！\ご主人の新しいサキュバス、ダビ参上！まぁ、これからよろしくお願いね！
c003_story2	ダビを騙そうったって\そうはいかないんだから！
c003_story3	えっへん！\ダビは優秀なストーカーだからね！
c003_true1	ダビは、モナお姉さまを永遠に愛し続けるの♥
c003_true2	うう……\いつ魔界に戻れるのかな……\全部ご主人のせいだ！
c003_true3	ご主人のせいで、ダビの計画がめちゃくちゃじゃん！魔王争奪戦を早く終わらせないと、ダビは…\…モナお姉さまと…えへへ……\ふん！こうなったら、ダビも手伝うからね！
c003_victory	やったー！ダビのおかげだね！
c004_02_boss_long	誰が一番はやく走れるか賭けてみよっか？
c004_02_boss_short	いっち、に！いっち、に！
c004_02_ctskill	エイエイオー！
c004_02_death_1	友達になれると思ったのに…
c004_02_death_2	あああっ！
c004_02_drive	もっと早く！！
c004_02_hit_1	きゃあっ！
c004_02_hit_2	ああっ！
c004_02_hit_3	きゃんっ！
c004_02_prskill	走ろっ！！
c004_02_skill	えいっ！
c004_02_spa	明日は何して遊ぶ？
c004_02_startbt	私と遊ぶ？
c004_02_story1	仲良くしようよ！一緒に遊ぼう、ねっ？
c004_02_story2	あっそぼ、仲良くあっそぼ！
c004_02_story3	勉強する！勉強するよ！\もっと仲良くなる方法！友達になる方法！\私、一生懸命勉強する！
c004_02_true1	隊長、遊ぼうよ！楽しませてあげるから！\ね？ね？隊長っ！
c004_02_true2	隊長…\私たち、友達だよね？私は隊長のこと好きだけど…\隊長は、私のこと…好き？
c004_02_true3	隊長のために頑張る！\隊長は…いつも、傍にいてくれるから。\私も隊長を守るよ！
c004_02_victory	私が一等賞！
c004_boss_long	誰が一番はやく走れるか賭けてみよっか？
c004_boss_short	いっち、に！いっち、に！
c004_ctskill	エイエイオー！
c004_death_1	友達になれると思ったのに…
c004_death_2	あああっ！
c004_drive	もっと早く！！
c004_hit_1	きゃあっ！
c004_hit_2	ああっ！
c004_hit_3	きゃんっ！
c004_prskill	走ろっ！！
c004_skill	えいっ！
c004_spa	明日は何して遊ぶ？
c004_startbt	私と遊ぶ？
c004_story1	仲良くしようよ！一緒に遊ぼう、ねっ？
c004_story2	あっそぼ、仲良くあっそぼ！
c004_story3	勉強する！勉強するよ！\もっと仲良くなる方法！友達になる方法！\私、一生懸命勉強する！
c004_true1	隊長、遊ぼうよ！楽しませてあげるから！\ね？ね？隊長っ！
c004_true2	隊長…\私たち、友達だよね？私は隊長のこと好きだけど…\隊長は、私のこと…好き？
c004_true3	隊長のために頑張る！\隊長は…いつも、傍にいてくれるから。\私も隊長を守るよ！
c004_victory	私が一等賞！
c005_boss_long	笑ってられるのも今のうちよ！
c005_boss_short	何なの、このガキ？
c005_ctskill	大人しくしなさい！
c005_death_1	ムカつくー！絶対復讐してやるんだから！
c005_death_2	だぁあああ～
c005_drive	みんなどいて！
c005_hit_1	このっ…！
c005_hit_2	ぁあっ！
c005_hit_3	く…！
c005_prskill	暑そうね？風穴開けてあげようか？
c005_skill	アンタ何なの？
c005_spa	邪魔しないで。
c005_startbt	そんな余裕で大丈夫かしら？
c005_story1	問題があるかって？当然でしょ！アタシに話しかけるなら\ちゃんとした手続きを踏んできなさいよ！
c005_story2	一生かかろうと、必ず復讐は成し遂げるわ。
c005_story3	候補生の中でも最弱のくせに…
c005_true1	強くなければ負けるのよ。だけど…弱いことは、悪いことなの？
c005_true2	アタシが復讐してあげる。悪い奴らは絶対許さないわ！
c005_true3	アンタ…アタシのこと、嫌いじゃないわよね？
c005_victory	よっしゃー！
c007_boss_long	俺に勝てるやつなんざいないぜ！
c007_boss_short	魂を燃やせ！
c007_ctskill	とびっきり熱いのをくれてやる！
c007_death_1	くそ…！俺は、まだ死んでねぇぞ…！
c007_death_2	だぁぁぁぁ～・・・・
c007_drive	燃え上がれ、俺の魂っ！
c007_hit_1	ぐわっ！
c007_hit_2	ぬぐぉ！
c007_hit_3	くっぅぅ…
c007_prskill	かかって来やがれっ！
c007_skill	とりゃあ！
c007_spa	あー…あれだ、今日はたまたま肩こってたんだよ…\ご、ゴホン！
c007_startbt	魂まで焼き尽くしてやるぜ！
c007_story1	かかってきやがれ、ファイロ！\ぶちのめしてやるからよ！\オマエを殺して、俺が《ファイロ》になってやる！
c007_story2	俺を強くするとか言って、\ほんとはファイロを守るために契約したんだろ？
c007_story3	恥じぬよう…だと？オマエじゃ俺に勝てねーよ！\魂を燃やして戦え！\生涯ただひとりのライバル、ファイロ！
c007_true1	オマエがファイロの主人か？\なら、俺の生みの親でもあるな。
c007_true2	オマエみたいなヤツは、ファイロの方がいいんだろ？俺みたいな…クズなんかよりさ。
c007_true3	どうしろってんだよ…！\どうすれば、俺の存在を認めてもらえるんだよぉ！！
c007_victory	へっ！この程度じゃ効かねーよ！
c008_boss_long	私と剣を交える準備はできたか？
c008_boss_short	準備できたらかかってきな！
c008_ctskill	ガリガリなくせに…
c008_death_1	クソッ！ここで終わるのか！？
c008_death_2	くっ…
c008_drive	さっさと終わらせよう！
c008_hit_1	ううっ…
c008_hit_2	きゃっ！
c008_hit_3	この野郎！
c008_prskill	今だ！
c008_skill	どけよっ！
c008_spa	それじゃ訓練を始めるか！
c008_startbt	ウォーミングアップでもしようか。
c008_story1	どうせ愛なんてホルモン作用の一種。\時間が過ぎたら顔も見たくなくなる。
c008_story2	いつまでチャイルドを盾にするつもりだ？\自分の身は自分で守れ。
c008_story3	腕比べだ。\オマエと剣を交えれば何か分かる気がする。
c008_true1	負けるのが嫌ならもっと鍛えな！
c008_true2	自分を守れるのは自分だけだ…
c008_true3	肩書は一応主人なんだし…\実力くらい見てみないと。\オマエのサポーターが言うように\もう少し様子を見てやるよ。
c008_victory	これこそ戦い！
c009_boss_long	こりゃ、追加料金請求しないとな…
c009_boss_short	オマエの値打ちはいくらだ？
c009_ctskill	楽に考えようぜ。
c009_death_1	うっ…返金はできないぜ…
c009_death_2	ぐわ～～～っ！
c009_drive	今回は高いぞ！
c009_hit_1	うあっ！
c009_hit_2	ぐはっ！
c009_hit_3	ぐぬはっ！
c009_prskill	プロを甘くみるな！
c009_skill	マジになんなよ。
c009_spa	おい、タダで見物できると思うなよ。
c009_startbt	おい、俺のギャラ高いの知ってるだろ？
c009_story1	仕事したら当然、対価をもらわないと。\それが資本主義ってもんだろ？
c009_story2	あー、貧乏人がよく言うセリフだ。
c009_story3	たまに理由もなく俺を避けるヤツがいるが、やっぱ気になるだろ。
c009_true1	金は多いほどいい。だが俺の主人はそこが欠点だ。
c009_true2	俺の肌はデリケートなんだ！優しくやってくれ。
c009_true3	ハァ？野望がない？それじゃ、俺のを半分持ってけ。俺の野望は満ち溢れてるからなっ！ハハハ！
c009_victory	はっはー！これはギャラアップか？
c010_boss_long	あらあら、人相の悪い患者さんね～
c010_boss_short	会いたかったわ、ダーリン♥
c010_ctskill	静脈注射、いっちゃうわ！
c010_death_1	本日の診察は終了しました～…
c010_death_2	きゃぁ～～～
c010_drive	患者さん、いらっしゃ～い♥
c010_hit_1	痛いじゃない！
c010_hit_2	きゃっ！
c010_hit_3	何するの！
c010_prskill	順番に診察していくわよ～
c010_skill	は～い、チクッとするわよ～
c010_spa	はぁぁ～、くつろいじゃうんだもんね～
c010_startbt	診察のお時間で～す♥
c010_story1	ほ～んとわけわかんない！\こうなったら、わたしに惚れさせるしかないわね！
c010_story2	次もそうやってビクビクして\わたしの顔色をうかがうような事したら、怒るわよ！
c010_story3	揺り籠からお墓まで！\一生、お世話する専属看護師になってあげるわ～♥
c010_true1	鈍いフリをしてるのか、本当に鈍いのか…\わからないわ！
c010_true2	空気を読めないバカにつける薬はナッシング！\聞いてるの、ダーリン？！
c010_true3	あのね、ダーリンってホントにツイてるのよ？\こ～んなダメダメ悪魔に尽くす看護師なんて\この世でわたしだけなんだから～♥
c010_victory	わたし…役に立てたのかしら？
c011_boss_long	力の限り戦います！
c011_boss_short	簡単には勝たせませんよ！
c011_ctskill	がんばります！
c011_death_1	おかしいですね。頑張ったのに…
c011_death_2	痛いです///
c011_drive	諦めません！
c011_hit_1	きゃっ！
c011_hit_2	はっ！
c011_hit_3	はーっ！！
c011_prskill	本領発揮しちゃいますよ！
c011_skill	ファイトです！
c011_spa	努力の報酬ですか？
c011_startbt	悪魔様のために一生懸命戦います！
c011_story1	ハッ！？何ですか、悪魔様！\戦いですか！戦闘開始ですか！
c011_story2	そんな感情込めて私を呼んでくださるなんて…\幸せ！これからも一生懸命、努力します！
c011_story3	今度こそ大丈夫です！\二度も同じミスはしません！
c011_true1	悪魔様のチャイルドになったので\悪魔様のために一生懸命仕事しましょうか？
c011_true2	悪魔様のために常に待機中です！\いつでもお呼びください！
c011_true3	悪魔様のために努力します。\ですから、ちょっとの失敗は大目に見てくださいね！
c011_victory	努力の甲斐がありました！
c012_boss_long	侮ってもらっちゃ困るぜ！
c012_boss_short	受けて立つ！
c012_ctskill	負けない！
c012_death_1	覚悟が…足りなかったという…わけか？
c012_death_2	キャプテン…は…
c012_drive	これで終わりだ！
c012_hit_1	うあっ！
c012_hit_2	ぐはっ！
c012_hit_3	ぬはぁっ！
c012_prskill	粉々にしてやる！
c012_skill	くらえっ！
c012_spa	その…そのように見つめられると…なんだ？恥ずかしいというか…きまり悪いというか…
c012_startbt	共に戦おう、キャプテン！
c012_story1	お前は自分がキャプテンに相応しいと\思っているのか！？
c012_story2	キャプテンも俺が悪いと思っているのか？
c012_story3	何を話している、キャプテン？\キャプテンの選択が俺の選択だ。
c012_true1	過ちを正す。今この手で…！
c012_true2	俺を信じろ。俺もお前を信じて戦い抜く！
c012_true3	俺が望む魔王になってくれるなら…キャプテンのために最後まで戦う。ふっ…キャプテンの心が決まるまで待っててやるよ。
c012_victory	お疲れ、キャプテン。
c013_boss_long	ようこそ。歓迎いたしましょう。
c013_boss_short	騒がしいですね。
c013_ctskill	仰せのままに…
c013_death_1	もしかすると、これでよかったのかもしれません…
c013_death_2	ぐはぁっ……
c013_drive	これで失礼いたします。
c013_hit_1	油断しました。
c013_hit_2	くっ！
c013_hit_3	ヤメて！
c013_prskill	下がってください。
c013_skill	次は私が参りましょう。
c013_spa	あまり休むと、隙が出来るのでは…？
c013_startbt	すぐ戻ります。
c013_story1	ごきげんよう、旦那様。
c013_story2	結局は、たとえ道に迷ったとしても、きちんと\目的の場所にたどり着ける悪魔が、最後まで\残るのでしょう。
c013_story3	この騒ぎの中では、頭痛に悩まされている暇も\ありません。\強引な解決法ですが…効果はありますね。
c013_true1	今も昔も、何も変わっていませんね。
c013_true2	すべての出来事は、観測をした時にそのあり方が\決まるのです。
c013_true3	ようこそ、旦那様。\不肖、アルテミスがご挨拶申し上げます。\この度、旦那様の旅にお供する事になりました。\終わりのない旅をご一緒できる事を光栄に思います。
c013_victory	ただいま戻りました。
c014_boss_long	覚悟してください。私の撤退はありえません。
c014_boss_short	正義を前に懺悔なさい。
c014_ctskill	悪は必要ありません。
c014_death_1	絶対に…許せない…
c014_death_2	正義は…絶えない…
c014_drive	悪の末路をお見せしましょう。
c014_hit_1	ああっ！
c014_hit_2	ああっ！
c014_hit_3	負けない！
c014_prskill	正義のために！
c014_skill	裁きを！
c014_spa	本当にいいところですね。ありがとうございます、ご主人様。
c014_startbt	正義は必ず勝利するものです。
c014_story1	正義を守るためには冷静さが必要なのです。さあ、彼らに裁きの鉄槌を…
c014_story2	いつもこのような形でチャイルドたちを集めてたんですか？卑怯極まりないですね。
c014_story3	ご主人様。やはりご主人は魔王になるべき御方です。
c014_true1	皆が正義から目をそらしても私は最後まで正義と向き合います。
c014_true2	あなた様こそアストレアの正義です。ご主人様。
c014_true3	心配しないでください。ご主人様はどんなことをしてでも私が守ってみせます。 \あなたは、このアストレアの正義です。
c014_victory	ご主人様の正義が証明されましたね。
c017_boss_long	オラがお相手するですだー！
c017_boss_short	かかってこいですだー！
c017_ctskill	ワン！かかって来いですだー！
c017_death_1	もう、ダメだめだぁ～…
c017_death_2	クゥン…
c017_drive	任せてけろ！
c017_hit_1	キャンッ！
c017_hit_2	イタイだー！
c017_hit_3	グゥゥ…ッ
c017_prskill	ほおー、やってみ？
c017_skill	ウゥ～…ワンワン！
c017_spa	とろけるですだ…\エへへ…
c017_startbt	ワンワン！お散歩ですだー♪
c017_story1	うー、ご主人さまはあったかいですだー。\スリスリ…♥
c017_story2	ご主人さまの後ろば、ぞろぞろついて来るのって、\ぜーんぶ幽霊だが？すごいですだー！
c017_story3	クーシーは、いつもご主人さまと一緒じゃ～！
c017_true1	幽霊王…じゃなくて、ご主人さま、猫だから…\つい飛びついてすまう事もあらぁ。
c017_true2	幽霊ば追い払える闘犬になりたいだぁー…！
c017_true3	ご主人さまは猫、オラは犬…\でもきっと、仲良しさなれます。よろしくお願いしますだー！
c017_victory	なでなでしてけろ～♪
c018_boss_long	あなたも私と同じで寂しいの？
c018_boss_short	お友達になってくれる？
c018_ctskill	助けてあげる！
c018_death_1	うっ…人形のお友達、みんなボロボロ…
c018_death_2	きゃ～～～！
c018_drive	負けないよ！
c018_hit_1	きゃっ！
c018_hit_2	いじめないで！
c018_hit_3	ハッ！
c018_prskill	お人形さんたち、歌いましょ！
c018_skill	私と遊ぼ。
c018_spa	キャッ。何も見てないよね？ね？
c018_startbt	私のお人形たち、見なかった？
c018_story1	お友達がいなくなっちゃったの？\私が新しい友達になってあげる。
c018_story2	あの子は私がいるから寂しくないんだって言ってた。
c018_story3	うわーん！ひどい！友達を捨てるなんて！ひどいよ！うえーん！
c018_true1	やっぱり私の友達はただの人形だと思ってる？
c018_true2	一人は嫌い…私を置いてかないで…
c018_true3	ねえ…友達になってくれる？私の親友よ。\こんなこと言うとちょっと恥ずかしいけど…ヘヘ…
c018_victory	褒めて下さい！
c019_boss_long	地獄へ来たことを歓迎する。
c019_boss_short	ここがその地獄だ！
c019_ctskill	しっかりしろ！
c019_death_1	私に喰ってかかる気か！？
c019_death_2	くっ！ここまでか…
c019_drive	ふっ…ふざけるな！
c019_hit_1	ハ！
c019_hit_2	チッ！
c019_hit_3	ぐあっ！
c019_prskill	素行不良を正してやる！
c019_skill	情けないヤツ！
c019_spa	オマエ…風呂にはよく入るのか？
c019_startbt	今から特別指導を始める！
c019_story1	こんな怠けたヤツが私の主人とは…\本当に情けない。
c019_story2	私はこういうヤツをよく知っている。
c019_story3	これからは私が手助けしよう。\オマエのか弱い精神を叩き直してやる！
c019_true1	どいつもこいつも同じヤツばかりだ。\もちろん、オマエもその一人だ！
c019_true2	私の特別指導は気に入ったか？\それならそうとはっきり言え！
c019_true3	ダメなヤツなどいない！\ダメな理由はダメと思い込んでいるからだ！\オマエはどんな悪魔になりたいんだ！
c019_victory	ふっ…やっと言うことを聞くようになったか。
c020_boss_long	どっちが勝つか、ワタシと賭けてみる？
c020_boss_short	さあ、始めるわよ！
c020_ctskill	ラッキーセブン！
c020_death_1	あらら～…運がなかったみたいね。
c020_death_2	裏目に出ちゃった…
c020_drive	一か八か勝負！
c020_hit_1	あらっ？
c020_hit_2	ぅわっ！
c020_hit_3	きゃっ！
c020_prskill	ついてないと不味いのよ！
c020_skill	当たって！
c020_spa	あら、おチビさんったら。案外おませなのね。
c020_startbt	サイコロで運試ししてみる？
c020_story1	ダメだよ。運命は、サイコロのみぞ知る、ってね。
c020_story2	おチビさん、なんか妙に難しく考えてない？\大丈夫よ、サイコロ占いでもピンゾロが\出たじゃない。
c020_story3	運ってのは、見方によって解釈が違ってくるものよ。
c020_true1	アナタの運命、占ってあげようか？
c020_true2	アナタの不運に、ワタシの幸運を賭けてみようか？
c020_true3	今度はおチビさんに賭けてみようかしら。\ふふ、一世一代の大博打…楽しみだわ！
c020_victory	おチビさんにも運が回って来たわ！
c022_10_boss_long	あー今手が離せないっす。\話は後でヨロシクっす。
c022_10_boss_short	ほんと、いい加減にしてくれないすかねー
c022_10_ctskill	ひっさあつ！
c022_10_death_1	ゲームオーバー…ちぇっ。
c022_10_death_2	や～ら～れ～たー
c022_10_drive	見よ！これぞ究極奥義！
c022_10_hit_1	痛いんですけどー！
c022_10_hit_2	うわっ！
c022_10_hit_3	ぐはっ！
c022_10_prskill	絶妙なタイミングっすわ！
c022_10_skill	行っきまぁーす！
c022_10_spa	おーARサイコー！\現在、温泉イベント絶賛開催中！
c022_10_startbt	ん？またバトルっすか？…はあ、やれやれだぜ。
c022_10_story1	ですからー悪魔氏に主としてのカリスマが\全く以て存在しない故こうなったってことっすわ。
c022_10_story2	ふむふむ…あ、いやいや？別に気にしてなんてないんですけど？\ほ、放っておいてくれてもいいっすよ。
c022_10_story3	うっは、超絶肩透かし！悪魔氏に期待したボクがバカだったっす！
c022_10_true1	どうしてこうなった。\…悪魔氏、ボクを解放してくれない？
c022_10_true2	魔王争奪戦だのなんだのうるさいんですけどー\放っといてくれませーん？
c022_10_true3	ゲーム機を充電するには電気が必要…\んでもって、電気を使うには悪魔氏のコンセントが必要。\導き出される結論は…仲良くしてやってください！
c022_10_victory	天才に不可能などないのですよ！
c022_boss_long	あー今手が離せないっす。\話は後でヨロシクっす。
c022_boss_short	ほんと、いい加減にしてくれないすかねー
c022_ctskill	ひっさあつ！
c022_death_1	ゲームオーバー…ちぇっ。
c022_death_2	や～ら～れ～たー
c022_drive	見よ！これぞ究極奥義！
c022_hit_1	痛いんですけどー！
c022_hit_2	うわっ！
c022_hit_3	ぐはっ！
c022_prskill	絶妙なタイミングっすわ！
c022_skill	行っきまぁーす！
c022_spa	おーARサイコー！\現在、温泉イベント絶賛開催中！
c022_startbt	ん？またバトルっすか？…はあ、やれやれだぜ。
c022_story1	ですからー悪魔氏に主としてのカリスマが\全く以て存在しない故こうなったってことっすわ。
c022_story2	ふむふむ…あ、いやいや？別に気にしてなんてないんですけど？\ほ、放っておいてくれていいっすよ。
c022_story3	うっは、超絶肩透かし！悪魔氏に期待したボクがバカだったっす！
c022_true1	どうしてこうなった。\…悪魔氏、ボクを解放してくれない？
c022_true2	魔王争奪戦だのなんだのうるさいんですけどー\放っといてくれませーん？
c022_true3	ゲーム機を充電するには電気が必要…\…んでもって、電気を使うには悪魔氏のコンセントが必要。\導き出される結論は…仲良くしてやってください！
c022_victory	天才に不可能などないのですよ！
c024_boss_long	来い！\弱肉強食の時代に生まれた哀れな子供たちよ！
c024_boss_short	さあ、宴を始めよう！
c024_ctskill	俺の前に跪け！
c024_death_1	ここで終わるような男だったというだけだ。
c024_death_2	ああ…できれば、あの頂を…見てみたかった…
c024_drive	とくと見よ！これが力の差だ！
c024_hit_1	ふん…
c024_hit_2	こんなものか？
c024_hit_3	中々やるな。
c024_prskill	幕を下ろすとしよう。
c024_skill	無残に散れ。
c024_spa	たまには、息抜きも悪くない。
c024_startbt	幕は開いた、始めよう。
c024_story1	初めて見る顔だな。
c024_story2	それでもお前は運がいい。 
c024_story3	長く留まるつもりはなかったが…\とにかく、よろしく頼む。
c024_true1	真の王とは、どういうものなのか実のところ、まだよくわからん。だからこそ、俺自身で確かめるとしよう。
c024_true2	どちらが王になるのか…だと？\つまらないことを聞くな。
c024_true3	お前と慣れ合うつもりはない。\それはお前も同じだろう？
c024_victory	当然の結果だ。
c026_boss_long	しつこいよ！ぶっ壊しちゃうから！
c026_boss_short	オーロラに触らないで！
c026_ctskill	あっち行って！
c026_death_1	逃げる！オーロラ、逃げるもん…！
c026_death_2	うへへへへ…
c026_drive	あっちに行っちゃえー！
c026_hit_1	きゃああ！
c026_hit_2	うわっ
c026_hit_3	くうわ～～っ！
c026_prskill	触んなぁっ！
c026_skill	うへへへ～！
